nombre,poblacion,superficie,continente
Argentina,45376763,2780400,América
Japón,125800000,377975,Asia
Brasil,213993437,8515767,América
Alemania,83149300,357022,Europa
Canadá,40000000,9984670,América
Estados Unidos,340000000,9833517,América
México,129000000,1964375,América
Chile,19600000,756102,América
Perú,34000000,1285216,América
Colombia,52000000,1141748,América
España,48500000,505990,Europa
Francia,68000000,551695,Europa
Italia,58900000,301340,Europa
Reino Unido,68500000,243610,Europa
China,1412000000,9596961,Asia
India,1430000000,3287263,Asia
Corea del Sur,51700000,100210,Asia
Australia,27000000,7692024,Oceanía
Egipto,112000000,1002450,África
Sudáfrica,62000000,1221037,África
